vendor_code,vendor_name
s6nt,silver screen cine cafe
s1xm,darling point
s3qj,vojon bari catering
s3fj,bd.fc - badda link road
s3cr,cafe maridian 69
s6cp,sa meh wa meh-dhanmondi
s7ri,the brasserie restaurant (britannia hotel)
s6km,food palace
s2ew,party point thai and chinese restaurant
s4if,coffee glory
s7hh,valentine’s day special from tastebud
s0go,golden recipe
s9md,nokhtro cafe cuisine
s4lc,brosis desert spoon
s1ql,tung king
s3tk,pizza la vita- gulshan
s1oq,malancha hatirpool
s9jo,city foods company
s8qd,baily-bar-b-q
u6qt,7285700
u9ol,just juice
s9xn,afc khagan bazar
s8xr,safa food
s1ng,cart attack
t0tq,babu vai chotpoti fuska
s1fz,lobster restaurant
s8lq,kitchen 300
b5hm,kutumbari biriyani house
u6hd,nana nati kabab ghor
hnrl,vow cafe
s5pm,fantasy food club
s8nu,mezbaan bari
s5qg,eat street
s5to,d.r restaurant & biriyani house
s4eg,tummy time cafe
s6dl,pappa roti
s1qi,beijing kitchen
s2fq,food fashion fastfood & bakery (uttar badda)
s0yo,aadda the luncheon club old
nga7,domino's pos stg
s1fp,cobabs food & cafe-cfc
u0yn,star chinese
s5fy,k bakery
s2mx,sub lovers- khilgaon
s3zd,burgeroo
s2bn,pizza king
s0fx,american burger dhanmondi old
s5gi,shahi mithai
s6jy,afc-(american's fried chicken)
s2gv,kabab and curry
s7xe,mantra fashion cafe
s2gs,smash burger
s4zu,boishakhi bangla restora bashundhara r-a
s8ht,spice inn
s5tg,kozmo ()
s4fh,nawaab's
s3lw,dastarkhana
t1mu,fokir hotel
s0vj,l'orange
s8nd,burger point
s7fz,root
s1wf,cocoloco
s6ft,purnima restora
s8sl,shawarma on wheels
s1hf,shawarma house-pallabi
s1tq,edge water restaurant
s4qp,the orange cart
s9tr,nabihah deli international restaurant
s8vi,new american burger bd
t6fz,labiba test
s5sl,gourmet parathas cafe
s2fm,black chilli
s7le,the grill house - gulshan 1
s0qy,nexus cafe
u8xd,lead life
u4yn,bhai bhai hotel & restaurant - brahmanbari
s8qr,club-pro
s6sv,food zone - niketon
s8ld,food taxi
x2na,alif hotel
s9ty,rosmarino italian pizza
s2dp,hot n roll-uttara
s7eu,chiang mai chinese restaurant
s1xc,fork and spoon
s6ol,kazifarms kitchen
s9zo,royal buffet restaurant
t7uy,chayer bari kitchen house
qegg,test purpose only (nahian)
s2pk,queen's confectionery khilkhet
s2oq,uff hungry
s0fe,fork knife
s2hn,ffc
s8cn,dawat
s5yw,hunstanton restaurant & takeway
s1je,grill my cheese
kz88,m.s. kitchen
s4it,mezban hari dot com
s2wf,mek way
s0db,lime and thyme
s4yz,tekiya-ctg
w3zw,testy pizza
s1wy,lost city live kitchen
s8ir,farmer's market
s9qb,zaman hotel - old
s7gt,fakruddin
s5yp,awesome burger
j3hk,oh testy burger
gy6n,- meenaclicks pos
s8sy,bell pepper
s1tm,shumi's hot cake
s4fr,b.h. & r
u7mf,foodie
s9dk,village
u6wf,ma general store
s2bf,foodaholic
s1fi,hotel fortune garden (dinette restaurant)
s4je,grill n' patty
s2iy,oasis (hotel agrabad)
s2ho,new king's kitchen
s8fl,chef the city restaurant
s8bl,the food junkies
s0rk,sfc restaurant
s5gf,muslim restaurant - old
s0zo,lemongrass restaurant - old
s8sk,asian bistro
s0sp,queen's confectionery dhanmondi
s4pw,china kitchen
w8lw,test shouren
s2uf,frankies fast food
s6tx,king's confectionery corporate
u9el,bill bari mistanno vander
s6oe,balti-
s9wa,mynt ultra lounge - old
s2wp,fuel on the run
s6un,east pan asian cuisine (hotel agrabad)
t4dk,the kitchen's story (duplicate)
s8xm,kabab express bd
s2tn,aroma's live kitchen
s7zj,food city
s5jt,youth skills development
s7pc,hot hut
s3mu,rodela bikel
s0lh,food terminal
s4wl,cream & fudge
s2ss,grassroots
t5id,shahi dhaba
s4fi,shumi's hot cake
s6ih,shawarma club- bashundhara
s2yw,sudder street
s4bx,oshto benjon
u3ru,flavour town
s3wa,arsalan - old
s5zo,rococo fusion cuisine
s9ww,tasty treat-wari
s4gm,bhotter bari
s1zi,chopsticks
p8lo,test shouren
s4ui,lavazza cafe italiano
s1az,pizzaholic
t9nf,test account
s9ia,platinum terrace
s7uw,roll xpress cafe
s9uv,it's homemade
s0th,meals via wheels
s3ks,my donuts
s7qv,tawa garam
s9nu,cafe shawarma
s1il,de castle restaurant
